ID,Name,Platform,Year_of_Release,Genre,Publisher
4749,Knockout Kings 2001,PS,2000,Fighting,Electronic Arts
4750,From Russia With Love,PS2,2005,Action,Electronic Arts
4751,Fantastic Pets,X360,2011,Simulation,THQ
4752,BlazBlue: Continuum Shift,PS3,2010,Fighting,PQube
4753,Duke Nukem Forever,PC,2011,Shooter,Take-Two Interactive
4754,Dragon Quest X,WiiU,2013,Role-Playing,Square Enix
4755,Minority Report: Everybody Runs,PS2,2002,Action,Activision
4756,Katamari Forever,PS3,2009,Puzzle,Namco Bandai Games
4757,Disney's Hercules / Disney's The Jungle Book: Groove Party / A Bug's Life,PS,2003,Misc,Sony Computer Entertainment
4758,NFL GameDay 2002,PS,2001,Sports,Sony Computer Entertainment
4759,Pengo,2600,1983,Adventure,Atari
4760,Spider-Man: Web of Shadows,X360,2008,Action,Activision
4761,Naughty Bear,X360,2010,Action,505 Games
4762,Mouse Trap,2600,1981,Action,Coleco
4763,Tak and the Power of Juju,GC,2003,Platform,THQ
4764,Six Flags Fun Park,Wii,2009,Misc,Ubisoft
4765,Just Dance Kids 2,X360,2011,Misc,Ubisoft
4766,Beowulf: The Game,X360,2007,Action,Ubisoft
4767,NBA Jam,Wii,2010,Sports,Electronic Arts
4768,Rune Factory 3: A Fantasy Harvest Moon,DS,2009,Role-Playing,Rising Star Games
4769,Dragon Quest Builders: Revive Alefgard,PS4,2016,Role-Playing,Square Enix
4770,Star Wars The Clone Wars: Republic Heroes,PSP,2009,Action,LucasArts
4771,Tales of Zestiria,PS4,2015,Role-Playing,Namco Bandai Games
4772,Metal Gear Solid: The Legacy Collection,PS3,2013,Adventure,Konami Digital Entertainment
4773,Medarot: Kabuto / Kuwagata Version,GB,1997,Role-Playing,Imagineer
4774,NBA 2K10,PS2,2009,Sports,Take-Two Interactive
4775,Defender,PS2,2002,Misc,Midway Games
4776,NFL GameDay 2003,PS2,N/A,Sports,Unknown
4777,TNA iMPACT!,PS3,2008,Fighting,Midway Games
4778,Taiko no Tatsujin Wii: Dodon to 2 Yome!,Wii,2009,Misc,Namco Bandai Games
4779,Congo Bongo,2600,1982,Action,Sega
4780,Gauntlet: Seven Sorrows,PS2,2005,Role-Playing,Midway Games
4781,Harry Potter: Quidditch World Cup,GC,2003,Sports,Electronic Arts
4782,Warriors Orochi 2 (JP sales),PS2,2008,Action,Tecmo Koei
4783,Cabela's Big Game Hunter 2010,PS3,2009,Sports,Activision Value
4784,Overlord,X360,2007,Strategy,Codemasters
4785,The Chronicles of Narnia: Prince Caspian,PS2,2008,Action,Disney Interactive Studios
4786,The Incredibles: Rise of the Underminer,GBA,2005,Action,THQ
4787,Life is Strange,PS4,2016,Adventure,Square Enix
4788,Pet in TV,PS,1997,Strategy,Sony Computer Entertainment
4789,Battalion Wars,GC,2005,Strategy,Nintendo
4790,NBA ShootOut 2000,PS,1999,Sports,989 Studios
4791,Power Rangers: Dino Thunder,GC,2004,Action,THQ
4792,Samurai Shodown,SNES,1994,Fighting,Takara
4793,Mass Effect Trilogy,X360,2012,Action,Electronic Arts
4794,The Wonderful 101,WiiU,2013,Action,Nintendo
4795,SpongeBob SquigglePants,Wii,2011,Misc,THQ
4796,Fighting Vipers,SAT,1995,Fighting,Sega
4797,Yu-Gi-Oh! 5D's Stardust Accelerator: World Championship 2009,DS,2009,Action,Konami Digital Entertainment
4798,NCAA GameBreaker 2000,PS,1999,Sports,989 Studios
4799,Asura's Wrath,PS3,2012,Action,Capcom
4800,The Legend of Spyro: Dawn of the Dragon,PS2,2008,Platform,Vivendi Games
4801,AKB1/48: Idol to Guam de Koishitara...,PSP,2011,Misc,Namco Bandai Games
4802,NFL Quarterback Club 2000,N64,1999,Sports,Acclaim Entertainment
4803,Mortal Kombat Mythologies: Sub-Zero,N64,1997,Fighting,Midway Games
4804,RR64: Ridge Racer 64,N64,1999,Racing,Nintendo
4805,Top Gear Rally,N64,1997,Racing,Kemco
4806,18 Wheeler: American Pro Trucker,PS2,2001,Racing,Acclaim Entertainment
4807,"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",PSP,2009,Shooter,Activision
4808,Wall-E,PS3,2008,Platform,THQ
4809,Atari Anthology,PS2,2004,Misc,Atari
4810,FIFA 14,PC,2013,Sports,Electronic Arts
4811,Bugs Bunny: Lost in Time,PS,1999,Platform,Infogrames
4812,Hot Wheels: Beat That!,PS2,2007,Racing,Activision
4813,MLB 2006,PS2,2005,Sports,Sony Computer Entertainment
4814,Ragnarok Odyssey,PSV,2012,Role-Playing,GungHo
4815,Brunswick Pro Bowling,PS2,2007,Sports,505 Games
4816,The Gunstringer,X360,2011,Shooter,Microsoft Game Studios
4817,Rocket Power: Dream Scheme,GBA,2001,Action,THQ
4818,Marvel: Ultimate Alliance,Wii,2006,Role-Playing,Activision
4819,LEGO Harry Potter: Years 5-7,3DS,N/A,Action,Warner Bros. Interactive Entertainment
4820,My Virtual Tutor: Reading Adventure First to Second Grade,DS,2009,Misc,Mentor Interactive
4821,MX vs. ATV Unleashed,XB,2005,Racing,THQ
4822,FIFA Soccer 13,PC,2012,Action,Electronic Arts
4823,Rampage: Total Destruction,GC,2006,Action,Midway Games
4824,Style Lab: Makeover,DS,2009,Simulation,Ubisoft
4825,The Urbz: Sims in the City,GC,2004,Simulation,Electronic Arts
4826,Road Rash: Jailbreak,PS,1999,Racing,Electronic Arts
4827,Disney Sing It! High School Musical 3: Senior Year,PS3,2008,Misc,Disney Interactive Studios
4828,Mother 3,GBA,2006,Role-Playing,Nintendo
4829,Nicktoons: Freeze Frame Frenzy,GBA,2004,Action,THQ
4830,Monster Trucks Mayhem,Wii,2009,Racing,Zoo Games
4831,You Don't Know Jack,PS,1999,Misc,Vivendi Games
4832,Rapala Pro Bass Fishing 2010,X360,2010,Sports,Activision
4833,WWE SmackDown! vs. RAW 2006,PSP,2005,Fighting,THQ
4834,Mafia II,PC,2010,Action,Take-Two Interactive
4835,Avatar: The Game,DS,2009,Action,Ubisoft
4836,Mystery Dungeon: Shiren the Wanderer,SNES,1995,Role-Playing,ChunSoft
4837,Pro Evolution Soccer 2016,PS3,2015,Sports,Konami Digital Entertainment
4838,Star Wars: Clone Wars,GC,2002,Shooter,Activision
4839,NBA Live 2002,XB,2001,Sports,Electronic Arts
4840,Sega Superstars Tennis,PS3,2008,Sports,Sega
4841,Spore Hero,Wii,2009,Simulation,Electronic Arts
4842,Winter Sports 2: The Next Challenge,Wii,2008,Sports,RTL
4843,Boku no Natsuyasumi,PS,2000,Adventure,Sony Computer Entertainment
4844,I-Ninja,PS2,2003,Platform,Sony Computer Entertainment
4845,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",PS3,2007,Action,Activision
4846,Moshi Monsters: Moshlings Theme Park,DS,2012,Misc,Activision
4847,Ghostbusters: The Video Game,DS,2009,Action,Atari
4848,Command & Conquer,PS,1996,Strategy,Virgin Interactive
4849,Harvest Moon: Save the Homeland,PS2,N/A,Simulation,Unknown
4850,SD Gundam G Generation Seed,PS2,2004,Strategy,Namco Bandai Games
4851,Call of Duty: Finest Hour,GC,2004,Shooter,Activision
4852,Naruto: Path of the Ninja,DS,2007,Role-Playing,D3Publisher
4853,Tales of Phantasia,SNES,1995,Role-Playing,Namco Bandai Games
4854,Speed Racer: The Videogame,Wii,2008,Racing,Warner Bros. Interactive Entertainment
4855,Castlevania: Portrait of Ruin,DS,2006,Platform,Konami Digital Entertainment
4856,Suzuki TT Superbikes,PS2,2005,Racing,Jester Interactive
4857,Rumble Roses,PS2,2004,Fighting,Konami Digital Entertainment
4858,Disney Infinity 3.0,X360,2015,Action,Disney Interactive Studios
4859,Tomb Raider: Anniversary,X360,2007,Action,Eidos Interactive
4860,Sherlock Holmes: The Mystery of the Mummy,DS,2009,Adventure,Focus Home Interactive
4861,Fantastic Four: Rise of the Silver Surfer,PS2,2007,Action,Take-Two Interactive
4862,Ultimate Spider-Man,XB,2005,Action,Activision
4863,Littlest Pet Shop,Wii,2008,Simulation,Electronic Arts
4864,Juiced 2: Hot Import Nights,PS2,2007,Racing,THQ
4865,Star Wars The Clone Wars: Republic Heroes,DS,2009,Action,LucasArts
4866,NHL 99,N64,1998,Sports,Electronic Arts
4867,LEGO The Lord of the Rings,3DS,2012,Action,Warner Bros. Interactive Entertainment
4868,Danball Senki,PSP,2011,Role-Playing,Level 5
4869,No More Heroes 2: Desperate Struggle,Wii,2010,Action,Rising Star Games
4870,NASCAR Heat,PS,2000,Racing,Hasbro Interactive
4871,Planet 51,DS,2009,Action,Sega
4872,Bloody Roar,PS,1997,Fighting,Virgin Interactive
4873,Bump 'n' Jump,2600,1982,Racing,Mattel Interactive
4874,Mobile Suit Gundam: Lost War Chronicles,PS2,2002,Shooter,Namco Bandai Games
4875,Legends of WrestleMania,X360,2009,Fighting,THQ
4876,Fishing Resort,Wii,2011,Sports,Namco Bandai Games
4877,Disney's Brother Bear,GBA,2003,Action,THQ
4878,Armored Core V,PS3,2012,Simulation,Namco Bandai Games
4879,NBA Live 09,PS2,2008,Sports,Electronic Arts
4880,Saints Row IV,PS4,2015,Action,Deep Silver
4881,Mass Effect 2,PC,2010,Role-Playing,Electronic Arts
4882,Harry Potter and the Deathly Hallows - Part 1,PS3,2010,Action,Electronic Arts
4883,The House of The Dead III,XB,2002,Shooter,Sega
4884,Project X Zone,3DS,2012,Role-Playing,Namco Bandai Games
4885,NBA Jam,PS3,2010,Sports,Electronic Arts
4886,Fire Emblem: Fuuin no Tsurugi,GBA,2002,Role-Playing,Nintendo
4887,Dishonored,PS4,2015,Action,Bethesda Softworks
4888,Dark Souls III,XOne,2016,Role-Playing,Namco Bandai Games
4889,NBA Jam,X360,2010,Sports,Electronic Arts
4890,Dancing with the Stars: We Dance!,DS,2008,Misc,Activision
4891,NBA Live 09,PSP,2008,Sports,Electronic Arts
4892,Ener-G: Gym Rockets,DS,2008,Sports,Ubisoft
4893,Laser Blast,2600,1981,Action,Activision
4894,Madden NFL Football,3DS,2011,Sports,Electronic Arts
4895,Thrasher Presents: Skate and Destroy,PS,1998,Sports,Take-Two Interactive
4896,Are You Smarter than a 5th Grader? Make the Grade,DS,2008,Misc,THQ
4897,Donkey Konga 2,GC,2004,Misc,Nintendo
4898,SpongeBob's Truth or Square (US sales),PSP,2009,Action,THQ
4899,Tear Ring Saga Yutona Eiyuu Senki,PS,2001,Role-Playing,Enterbrain
4900,Transformers: Fall of Cybertron,PS3,2012,Action,Activision
4901,Alpha Protocol,X360,2010,Role-Playing,Sega
4902,Metal Gear Solid HD Edition,PSV,2012,Action,Konami Digital Entertainment
4903,FIFA 12,3DS,2011,Sports,Electronic Arts
4904,Taiko no Tatsujin Wii: Ketteiban,Wii,2011,Misc,Namco Bandai Games
4905,SSX 3,XB,2003,Sports,Electronic Arts
4906,Combat of Giants: Dinosaurs 3D,3DS,2011,Strategy,Ubisoft
4907,Madden NFL 2005,GBA,2004,Sports,Electronic Arts
4908,All-Star Baseball 2000,N64,1999,Sports,Acclaim Entertainment
4909,Custom Robo V2,N64,2000,Fighting,Nintendo
4910,Extreme-G: XG2,N64,1998,Racing,Acclaim Entertainment
4911,BattleTanx: Global Assault,N64,1999,Action,3DO
4912,Final Fantasy Crystal Chronicles: The Crystal Bearers,Wii,2009,Action,Square Enix
4913,SpongeBob's Truth or Square (US sales),Wii,2009,Action,THQ
4914,Until Dawn: Rush of Blood,PS4,2016,Adventure,Sony Computer Entertainment
4915,Chibi-Robo! Plug into Adventure!,GC,2005,Adventure,Nintendo
4916,Sonic Lost World,WiiU,2013,Platform,Sega
4917,Super Monkey Ball: Step & Roll,Wii,2010,Action,Sega
4918,Skylanders SWAP Force,PS4,2013,Platform,Activision
4919,Iron Man 2,PS3,2010,Action,Sega
4920,Jampack Winter 2003 (RP-T),PS2,2003,Misc,Sony Computer Entertainment
4921,Star Wars The Clone Wars: Republic Heroes,X360,2009,Action,LucasArts
4922,Monster Jam: Urban Assault,DS,2008,Racing,Activision
4923,Kengo: Master of Bushido,PS2,2000,Fighting,Ubisoft
4924,Blood Omen 2,PS2,2002,Action,Eidos Interactive
4925,Monopoly Streets,PS3,2010,Misc,Electronic Arts
4926,Super Fire ProWrestling,SNES,1991,Fighting,Human Entertainment
4927,Cabela's Dangerous Hunts 2,PS2,2005,Sports,Activision
4928,Condemned 2: Bloodshot,PS3,2008,Action,Sega
4929,Disney Princess: Enchanting Storybooks,Wii,2011,Misc,THQ
4930,Chessmaster,PS2,2003,Misc,Ubisoft
4931,Fatal Fury,SNES,1992,Fighting,Takara
4932,From TV Animation One Piece: Yume no Lufy Kaizokudan Tanjou!,GB,2001,Role-Playing,Banpresto
4933,The Darkness II,X360,2012,Shooter,Take-Two Interactive
4934,Ice Age 2: The Meltdown,PS2,2006,Platform,Vivendi Games
4935,The Sims 2,GBA,2005,Simulation,Electronic Arts
4936,Hitman: Blood Money,X360,2006,Action,Eidos Interactive
4937,Super Famista 3,SNES,1994,Sports,Namco Bandai Games
4938,Advance Wars: Dual Strike,DS,2005,Strategy,Nintendo
4939,Auto Modellista,PS2,2002,Racing,Capcom
4940,WipeOut 3 The Game,Wii,2012,Action,Activision
4941,MLB 15: The Show,PS3,2015,Sports,Sony Computer Entertainment
4942,Tom Clancy's Ghost Recon 2: Summit Strike,XB,2005,Shooter,Ubisoft
4943,Tiger Woods PGA Tour 08,PS2,2007,Sports,Electronic Arts
4944,F1 2016 (Codemasters),PS4,2016,Racing,Codemasters
4945,Just Dance 2015,PS4,2014,Misc,Ubisoft
4946,Robert Ludlum's The Bourne Conspiracy,PS3,N/A,Action,Vivendi Games
4947,Samurai Warriors Chronicles,3DS,2011,Action,Tecmo Koei
4948,Karaoke Revolution Presents American Idol Encore,PS2,2008,Misc,Konami Digital Entertainment
4949,Airlock,2600,1981,Action,Data Age
4950,Tokimeki Memorial 2,PS,1999,Simulation,Konami Digital Entertainment
4951,Hooked! Again: Real Motion Fishing,Wii,2009,Sports,505 Games
4952,SpongeBob vs The Big One: Beach Party Cook Off,DS,2009,Adventure,THQ
4953,One Piece: Unlimited World Red,3DS,2013,Action,Namco Bandai Games
4954,EA Sports Active 2,X360,2010,Sports,Electronic Arts
4955,MotoGP 08,PS3,2008,Racing,Capcom
4956,Red Faction: Armageddon,X360,2011,Shooter,THQ
4957,Harry Potter: Quidditch World Cup,GBA,2003,Sports,Electronic Arts
4958,Dungeon Siege III,PS3,2011,Role-Playing,Square Enix
4959,Evil Dead: Fistfull of Boomstick,PS2,2003,Action,THQ
4960,Silent Hill: Homecoming,PS3,N/A,Action,Konami Digital Entertainment
4961,Triple Play 97,PS,1996,Sports,Electronic Arts Victor
4962,Sonic & All-Stars Racing Transformed,PSV,2012,Racing,Sega
4963,Super Soccer,SNES,1991,Sports,Nintendo
4964,Shin Megami Tensei: Nocturne,PS2,2003,Role-Playing,Ghostlight
4965,Wario Land II (GBC),GB,1998,Platform,Nintendo
4966,San Francisco Rush: Extreme Racing,PS,1997,Racing,GT Interactive
4967,Bakusou Dekotora Densetsu: Otoko Ippiki Yume Kaidoi,PS,1998,Racing,Human Entertainment
4968,Farming Simulator 2013,X360,2013,Simulation,Focus Home Interactive
4969,ESPN College Hoops 2K5,XB,2004,Sports,Sega
4970,Looney Tunes: Acme Arsenal,PS2,2007,Action,Warner Bros. Interactive Entertainment
4971,SD Gundam G Generation Spirits,PS2,2007,Strategy,Namco Bandai Games
4972,Dance Party: Pop Hits,Wii,2009,Misc,Nordic Games
4973,Marvel: Ultimate Alliance,PS3,2006,Role-Playing,Activision
4974,The Cat in the Hat,GBA,2005,Platform,Jack of All Games
4975,Diner Dash: Sizzle & Serve,DS,2007,Puzzle,Eidos Interactive
4976,Shin Megami Tensei: Devil Survivor Overclocked,3DS,2011,Role-Playing,Ghostlight
4977,NFL GameDay 2002,PS2,2001,Sports,Sony Computer Entertainment
4978,Naruto: Clash of Ninja Revolution 2,Wii,2008,Fighting,Tomy Corporation
4979,Turok: Evolution,GC,2002,Shooter,Acclaim Entertainment
4980,NCAA Football 08,PS3,2007,Sports,Electronic Arts
4981,Jam Sessions: Sing and Play Guitar (US sales),DS,2007,Misc,Ubisoft
4982,Mobile Suit Gundam: Giren no Yabou Zeon Dokuritsu Sensouden,PS2,2002,Strategy,Namco Bandai Games
4983,Ice Age,GBA,2002,Action,Ubisoft
4984,Sega Superstars Tennis,PS2,2008,Sports,Sega
4985,Headhunter,PS2,2002,Action,Sega
4986,FIFA 14,Wii,2013,Sports,Electronic Arts
4987,Yoshi Touch & Go,DS,2005,Platform,Nintendo
4988,Viking: Battle for Asgard,PS3,2008,Action,Sega
4989,Rock Band 4,PS4,2015,Misc,Harmonix Music Systems
4990,Shin Megami Tensei: Devil Summoner,SAT,1995,Role-Playing,Atlus
4991,Junior Classic Games,DS,2009,Misc,Avanquest
4992,Marvel Nemesis: Rise of the Imperfects,GC,2005,Fighting,Electronic Arts
4993,ESPN Extreme Games,PS,1994,Sports,Sony Computer Entertainment
4994,Brunswick Pro Bowling,Wii,2007,Sports,505 Games
4995,Ninja: Shadow of Darkness,PS,1998,Action,Eidos Interactive
4996,Wolfenstein: The New Order,X360,2014,Shooter,Bethesda Softworks
4997,SD Gundam G Generation-F,PS,2000,Strategy,Namco Bandai Games
4998,Bratz: Rock Angelz,PS2,2005,Misc,THQ
4999,FlatOut,PS2,2004,Racing,Empire Interactive
5000,Phoenix Wright: Ace Attorney - Dual Destinies,3DS,2013,Adventure,Capcom
5001,Battlefield 1,PC,2016,Shooter,Electronic Arts
5002,SSX 3,GC,2003,Sports,Electronic Arts
5003,Metal Gear Solid: Snake Eater 3D,3DS,2012,Action,Konami Digital Entertainment
5004,Raving Rabbids: Travel in Time 3D,3DS,2011,Platform,Ubisoft
5005,NCAA Football 11,PS2,2010,Sports,Electronic Arts
5006,Lilo & Stitch 2: Hemsterviel Havoc,GBA,2004,Action,Disney Interactive Studios
5007,LocoRoco,PSP,2006,Platform,Sony Computer Entertainment
5008,Risk: Global Domination,PS2,2003,Strategy,Atari
5009,Deus Ex: Mankind Divided,PS4,2016,Role-Playing,Square Enix
5010,Mobile Suit Gundam version 2.0,PS,1996,Action,Namco Bandai Games
5011,FIFA 17,X360,2016,Sports,Electronic Arts
5012,Grandia Xtreme,PS2,2002,Role-Playing,Enix Corporation
5013,Tamagotchi Connection: Corner Shop 3,DS,2007,Simulation,Atari
5014,Silent Scope,PS2,2000,Shooter,Konami Digital Entertainment
5015,Final Fantasy Adventure,GB,1991,Role-Playing,SquareSoft
5016,Dora The Explorer: Dora Saves the Snow Princess,PS2,2008,Platform,Take-Two Interactive
5017,The Incredible Hulk,PS2,2008,Action,Sega
5018,Mercenaries 2: World in Flames,PS2,2008,Shooter,Electronic Arts
5019,Saints Row: The Third,PC,2011,Action,THQ
5020,Ghost Trick: Phantom Detective,DS,2010,Adventure,Capcom
5021,Tokimeki Memorial: Forever with You,SAT,1996,Simulation,Konami Digital Entertainment
5022,MediEvil II,PS,1999,Action,Sony Computer Entertainment
5023,Hunter: The Reckoning,XB,2002,Action,Interplay
5024,MX vs. ATV Untamed,PS2,2007,Racing,THQ
5025,Rogue Trip: Vacation 2012,PS,1998,Racing,GT Interactive
5026,Phantasy Star Ø,DS,2008,Role-Playing,Sega
5027,Dawn of Discovery,PC,2009,Simulation,Ubisoft
5028,Dai-4-Ji Super Robot Taisen,SNES,1995,Strategy,Banpresto
5029,Tales of Hearts,PSV,2013,Role-Playing,Namco Bandai Games
5030,Get Fit with Mel B,PS3,2010,Sports,Black Bean Games
5031,Ice Age: Dawn of the Dinosaurs,DS,2009,Action,Activision
5032,Pokemon Channel,GC,2003,Adventure,Nintendo
5033,Taiko no Tatsujin Portable DX,PSP,2011,Misc,Namco Bandai Games
5034,Etrian Odyssey IV: Legends of the Titans,3DS,2012,Role-Playing,Atlus
5035,Sesame Street: Elmo's A-to-Zoo Adventure,Wii,2010,Misc,Warner Bros. Interactive Entertainment
5036,Iron Man 2,PSP,2010,Action,Sega
5037,Moto Racer World Tour,PS,2000,Racing,Sony Computer Entertainment
5038,Virtua Tennis 2009,PS3,2009,Sports,Sega
5039,The Dog Island,Wii,2007,Adventure,Ubisoft
5040,NCAA Final Four 2000,PS,1999,Sports,989 Sports
5041,Madagascar: Escape 2 Africa,PS2,2008,Action,Activision
5042,Hangman,2600,N/A,Puzzle,Atari
5043,Need for Speed: Nitro,DS,2009,Racing,Electronic Arts
5044,Naruto Shippuden: Ultimate Ninja Heroes 3,PSP,2009,Fighting,Namco Bandai Games
5045,Tiger Woods PGA Tour 08,PSP,2007,Sports,Electronic Arts
5046,Cabela's Dangerous Hunts 2009,Wii,2008,Sports,Activision Value
5047,Petz Rescue: Wildlife Vet,DS,2008,Simulation,Ubisoft
5048,Dancing with the Stars: We Dance!,Wii,2008,Misc,Activision
5049,Age of Empires III,PC,2005,Strategy,Microsoft Game Studios
5050,Madden NFL 11,PSP,2010,Sports,Electronic Arts
5051,Gravitar,2600,1982,Action,Atari
5052,EyeToy Play 2,PS2,2004,Misc,Sony Computer Entertainment
5053,Mobile Suit Gundam: Extreme VS Full Boost,PS3,2014,Fighting,Namco Bandai Games
5054,Dance Dance Revolution Ultramix 3,XB,2005,Simulation,Konami Digital Entertainment
5055,LEGO Marvel Super Heroes,DS,2013,Action,Warner Bros. Interactive Entertainment
5056,WWE SmackDown vs. Raw 2011,PS2,2010,Fighting,THQ
5057,Pro Evolution Soccer 2011 3D,3DS,2011,Sports,Konami Digital Entertainment
5058,Just Dance 2014,PS3,2013,Misc,Ubisoft
5059,Wii Sports Club,WiiU,2014,Sports,Nintendo
5060,Harry Potter and the Prisoner of Azkaban,GC,2004,Action,Electronic Arts
5061,Paws & Claws: Pampered Pets,DS,2009,Simulation,THQ
5062,Puppy Palace,DS,2008,Simulation,Ubisoft
5063,Peppa Pig: The Game,Wii,2009,Misc,Pinnacle
5064,Skylanders Giants,WiiU,2012,Action,Activision
5065,GRID 2,PS3,2013,Racing,Codemasters
5066,Solaris,2600,1986,Shooter,Atari
5067,Resident Evil Zero,PS4,2016,Action,Capcom
5068,Super Dragon Ball Z,PS2,2006,Fighting,Atari
5069,Scooby-Doo! and the Spooky Swamp,DS,2010,Action,Warner Bros. Interactive Entertainment
5070,Petz Rescue: Ocean Patrol,DS,2008,Adventure,Ubisoft
5071,The Golden Compass,PSP,N/A,Action,Sega
5072,Tobal 2,PS,1997,Fighting,SquareSoft
5073,Farming Simulator 2015,PS3,2015,Simulation,Koch Media
5074,NBA 2K10,Wii,2009,Sports,Take-Two Interactive
5075,Persona 5,PS4,2016,Role-Playing,Atlus
5076,Disney Sing It,PS3,2008,Misc,Disney Interactive Studios
5077,Tiger Woods PGA Tour 09,PS2,2008,Sports,Electronic Arts
5078,Ultimate Spider-Man,GC,2005,Action,Activision
5079,NBA Inside Drive 2002,XB,2002,Sports,Microsoft Game Studios
5080,Major League Baseball 2K6,X360,2006,Sports,Spike
5081,Imagine: Party Babyz,Wii,2008,Simulation,Ubisoft
5082,LEGO Star Wars III: The Clone Wars,PSP,2011,Action,LucasArts
5083,NBA 2K7,PS3,2006,Sports,Take-Two Interactive
5084,Kileak: The DNA Imperative,PS,1994,Shooter,Sony Computer Entertainment
5085,Petz: Catz 2,PS2,2006,Simulation,Ubisoft
5086,Just Dance 4,WiiU,2012,Misc,Ubisoft
5087,Phantasy Star Portable 2: Infinity,PSP,2011,Role-Playing,Sega
5088,"Monsters, Inc. Scream Arena",GC,2002,Platform,THQ
5089,Reel Fishing III,PS2,2003,Sports,Natsume
5090,Cabela's Deer Hunt 2005 Season,PS2,2004,Sports,Activision
5091,Monster Jam: Path of Destruction,DS,2010,Racing,Activision
5092,Need for Speed: Hot Pursuit,PC,2010,Racing,Electronic Arts
5093,Rampage: Total Destruction,PS2,2006,Action,Midway Games
5094,High Heat Major League Baseball 2003,PS2,2002,Sports,3DO
5095,Trivial Pursuit,X360,2009,Misc,Electronic Arts
5096,Super Formation Soccer 94,SNES,1994,Sports,Human Entertainment
5097,Kingdom Under Fire: Circle of Doom,X360,2007,Role-Playing,Microsoft Game Studios
5098,Panzer Dragoon,SAT,1995,Shooter,Sega
5099,Spider-Man: Friend or Foe,PS2,2007,Action,Activision
5100,Yarudora Series Vol.1: Double Cast,PS,1998,Adventure,Sony Computer Entertainment
5101,Rec Room Games,Wii,2009,Sports,Destineer
5102,EA Sports MMA,PS3,2010,Fighting,Electronic Arts
5103,Guitar Hero On Tour: Modern Hits,DS,2009,Misc,Activision
5104,Quake 4,X360,2005,Shooter,Activision
5105,Tiger Woods PGA Tour 14,PS3,2013,Sports,Electronic Arts
5106,Skate,PS3,2007,Sports,Electronic Arts
5107,Cabela's Big Game Hunter 2012,Wii,2011,Sports,Activision
5108,Fushigi no Dungeon: Furai no Shiren 2 - Oni Shuurai! Shiren Shiro!,N64,2000,Role-Playing,ChunSoft
5109,Turok: Rage Wars,N64,1999,Shooter,Acclaim Entertainment
5110,Scooby-Doo! Classic Creep Capers,N64,2000,Action,THQ
5111,Rage,PC,2011,Shooter,Bethesda Softworks
5112,Dragonfire,2600,1981,Action,Imagic
5113,Custom Robo,GC,2004,Role-Playing,Nintendo
5114,Prince of Persia: The Forgotten Sands,PSP,2010,Action,Ubisoft
5115,BioShock The Collection,PS4,2016,Shooter,Take-Two Interactive
5116,Theatrhythm Final Fantasy: Curtain Call,3DS,2014,Misc,Square Enix
5117,DiRT 2,Wii,2009,Racing,Codemasters
5118,Pac-Man World 2,GC,2002,Action,Nintendo
5119,Kotoba no Puzzle: Mojipittan DS,DS,2007,Puzzle,Namco Bandai Games
5120,Tomb Raider: Legend,X360,2006,Action,Eidos Interactive
5121,Rocket League,PS4,2016,Sports,505 Games
5122,The BIGS,Wii,2007,Sports,Take-Two Interactive
5123,Barbie Horse Adventures: Blue Ribbon Race,GBA,2003,Sports,Knowledge Adventure
5124,Destiny: The Taken King,PS3,2015,Shooter,Activision
5125,Skylanders: SuperChargers,PS3,2015,Action,Activision
5126,The Legend of Spyro: A New Beginning,DS,2006,Platform,Vivendi Games
5127,Imagine: Salon Stylist,DS,2009,Simulation,Ubisoft
5128,Juiced 2: Hot Import Nights,PSP,2007,Racing,THQ
5129,Slime MoriMori Dragon Quest: Shougeki No Shippo Dan,GBA,2003,Adventure,Square Enix
5130,Dungeon Siege III,X360,2011,Role-Playing,Square Enix
5131,Hell's Kitchen: The Game,DS,2008,Simulation,Ubisoft
5132,DiRT Rally,PS4,2016,Racing,Codemasters
5133,NFL Street 2 Unleashed,PSP,2005,Sports,Electronic Arts
5134,Super Robot Taisen EX,SNES,1994,Strategy,Banpresto
5135,FIFA Street 2,PS2,2006,Sports,Electronic Arts
5136,Virtua Tennis 2009,Wii,2009,Sports,Sega
5137,Overlord: Dark Legend,Wii,2009,Action,Codemasters
5138,Bottom of the 9th,N64,1999,Sports,Konami Digital Entertainment
5139,The Legend of Spyro: The Eternal Night,DS,2007,Platform,Vivendi Games
5140,Shin Megami Tensei II,SNES,1994,Role-Playing,Atlus
5141,Harry Potter and the Order of the Phoenix,PSP,2007,Action,Electronic Arts
5142,Wanted: Weapons of Fate,X360,2009,Shooter,Warner Bros. Interactive Entertainment
5143,Xenosaga Episode III: Also sprach Zarathustra,PS2,2006,Role-Playing,Namco Bandai Games
5144,Skylanders: Trap Team,XOne,2014,Action,Activision
5145,Rune Factory: Frontier,Wii,2008,Role-Playing,Rising Star Games
5146,Virtua Fighter 3tb,DC,1998,Fighting,Sega
5147,Medieval II: Total War Gold Edition,PC,2008,Strategy,Sega
5148,Mini Ninjas,Wii,2009,Action,Eidos Interactive
5149,Naruto Shippuden: Ninja Destiny 2,DS,2008,Fighting,Takara Tomy
