ID,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
4646,0.36,0.02,0,0.03,0.42
4647,0.18,0.16,0.03,0.04,0.42
4648,0.2,0.16,0,0.05,0.42
4649,0.25,0.12,0,0.05,0.42
4650,0,0,0.42,0,0.42
4651,0.2,0.16,0,0.05,0.42
4652,0,0,0.42,0,0.42
4653,0.3,0.1,0,0.02,0.42
4654,0.19,0.11,0.09,0.03,0.41
4655,0.2,0.16,0,0.05,0.41
4656,0.15,0.12,0.11,0.04,0.41
4657,0.19,0.16,0,0.07,0.41
4658,0.2,0.16,0,0.05,0.41
4659,0.3,0.11,0,0.01,0.41
4660,0.2,0.16,0,0.05,0.41
4661,0.36,0.02,0,0.03,0.41
4662,0.3,0.11,0,0.01,0.41
4663,0.39,0,0,0.03,0.41
4664,0.41,0,0,0,0.41
4665,0.04,0.21,0.05,0.11,0.41
4666,0,0,0.41,0,0.41
4667,0.23,0.16,0,0.03,0.41
4668,0.34,0.01,0,0.06,0.41
4669,0.24,0.14,0,0.04,0.41
4670,0.2,0.16,0,0.05,0.41
4671,0.23,0.16,0,0.03,0.41
4672,0.26,0.13,0,0.02,0.41
4673,0,0,0.41,0,0.41
4674,0.36,0.02,0,0.03,0.41
4675,0.23,0.16,0,0.03,0.41
4676,0.23,0.16,0,0.03,0.41
4677,0.05,0.31,0,0.06,0.41
4678,0,0,0.39,0.03,0.41
4679,0.22,0.09,0.04,0.07,0.41
4680,0,0,0.41,0,0.41
4681,0.21,0.12,0.03,0.05,0.41
4682,0.13,0.15,0.07,0.06,0.41
4683,0.2,0.16,0,0.05,0.41
4684,0,0,0.41,0,0.41
4685,0.2,0.16,0,0.05,0.41
4686,0.07,0.2,0.09,0.05,0.41
4687,0.22,0.15,0,0.04,0.41
4688,0,0.27,0,0.14,0.41
4689,0.27,0.08,0,0.07,0.41
4690,0.36,0.02,0,0.03,0.41
4691,0.36,0.02,0,0.03,0.41
4692,0.31,0.06,0,0.04,0.41
4693,0,0,0.41,0,0.41
4694,0.22,0.15,0,0.04,0.41
4695,0.03,0.19,0.1,0.1,0.41
4696,0.34,0.01,0,0.06,0.41
4697,0.38,0,0,0.03,0.41
4698,0.19,0.15,0,0.06,0.41
4699,0.23,0.16,0,0.03,0.41
4700,0.08,0.23,0.01,0.09,0.41
4701,0,0,0.41,0,0.41
4702,0.29,0.07,0,0.06,0.41
4703,0,0,0.41,0,0.41
4704,0.07,0.26,0.02,0.06,0.41
4705,0.23,0.16,0,0.03,0.41
4706,0.37,0.01,0,0.03,0.41
4707,0.2,0.18,0,0.03,0.41
4708,0.1,0.02,0.25,0.04,0.41
4709,0.33,0.07,0,0,0.41
4710,0,0,0.41,0,0.41
4711,0.01,0.39,0,0.02,0.41
4712,0.2,0.16,0,0.05,0.41
4713,0.2,0.16,0,0.05,0.41
4714,0.13,0.09,0.16,0.03,0.41
4715,0.23,0.14,0,0.04,0.41
4716,0,0,0.38,0.03,0.41
4717,0.33,0.04,0.01,0.03,0.41
4718,0.15,0.22,0,0.04,0.41
4719,0.15,0.22,0,0.05,0.41
4720,0.15,0.06,0,0.2,0.41
4721,0.11,0.08,0.19,0.03,0.41
4722,0.2,0.16,0,0.05,0.41
4723,0,0.03,0.37,0.01,0.41
4724,0.31,0.08,0,0.01,0.41
4725,0.34,0.01,0,0.06,0.41
4726,0,0,0.41,0,0.41
4727,0.23,0.15,0,0.03,0.41
4728,0.32,0.02,0.04,0.03,0.41
4729,0.15,0.1,0.12,0.03,0.41
4730,0.21,0.05,0.13,0.02,0.41
4731,0.34,0.01,0,0.06,0.41
4732,0,0,0.4,0.01,0.41
4733,0.24,0.09,0,0.07,0.41
4734,0,0,0.41,0,0.41
4735,0.23,0.02,0,0.16,0.41
4736,0.38,0,0,0.03,0.41
4737,0.15,0.23,0,0.03,0.41
4738,0,0,0.41,0,0.41
4739,0.08,0.26,0,0.06,0.41
4740,0.34,0.01,0,0.06,0.41
4741,0,0,0.41,0,0.41
4742,0.2,0.16,0,0.05,0.41
4743,0.16,0.18,0,0.07,0.41
4744,0.24,0.13,0,0.04,0.41
4745,0.19,0.18,0,0.04,0.41
4746,0.18,0.15,0.02,0.06,0.41
4747,0.35,0.02,0.01,0.03,0.41
4748,0.29,0.08,0,0.04,0.41
4749,0.23,0.15,0,0.03,0.41
4750,0.34,0.01,0,0.06,0.41
4751,0.3,0.08,0,0.03,0.41
4752,0.21,0.07,0.09,0.04,0.41
4753,0.18,0.17,0,0.06,0.41
4754,0,0,0.41,0,0.41
4755,0.2,0.15,0,0.05,0.41
4756,0.26,0.04,0.06,0.04,0.4
4757,0.23,0.15,0,0.03,0.4
4758,0.23,0.15,0,0.03,0.4
4759,0.38,0.02,0,0,0.4
4760,0.36,0.02,0,0.03,0.4
4761,0.21,0.15,0,0.04,0.4
4762,0.38,0.02,0,0,0.4
4763,0.31,0.08,0,0.01,0.4
4764,0.27,0.09,0,0.04,0.4
4765,0.29,0.08,0,0.03,0.4
4766,0.36,0.01,0,0.03,0.4
4767,0.36,0.02,0,0.02,0.4
4768,0.26,0.03,0.1,0.02,0.4
4769,0.04,0.11,0.22,0.03,0.4
4770,0.21,0.12,0,0.07,0.4
4771,0.17,0.15,0.02,0.06,0.4
4772,0.31,0.01,0.03,0.06,0.4
4773,0,0,0.4,0,0.4
4774,0.33,0.01,0,0.05,0.4
4775,0.2,0.15,0,0.05,0.4
4776,0.2,0.15,0,0.05,0.4
4777,0.22,0.12,0,0.06,0.4
4778,0,0,0.4,0,0.4
4779,0.37,0.02,0,0,0.4
4780,0.2,0.15,0,0.05,0.4
4781,0.31,0.08,0,0.01,0.4
4782,0,0,0.4,0,0.4
4783,0.37,0,0,0.03,0.4
4784,0.34,0.03,0.01,0.03,0.4
4785,0.2,0.15,0,0.05,0.4
4786,0.29,0.11,0,0.01,0.4
4787,0.15,0.15,0.03,0.06,0.4
4788,0,0,0.38,0.03,0.4
4789,0.25,0.07,0.07,0.01,0.4
4790,0.22,0.15,0,0.03,0.4
4791,0.31,0.08,0,0.01,0.4
4792,0,0,0.4,0,0.4
4793,0.28,0.09,0,0.03,0.4
4794,0.19,0.1,0.08,0.03,0.4
4795,0.35,0.02,0,0.03,0.4
4796,0,0,0.4,0,0.4
4797,0.27,0.01,0.09,0.03,0.4
4798,0.22,0.15,0,0.03,0.4
4799,0.18,0.12,0.06,0.05,0.4
4800,0.12,0.01,0,0.27,0.4
4801,0,0,0.4,0,0.4
4802,0.37,0.03,0,0,0.4
4803,0.32,0.07,0,0,0.4
4804,0.32,0.07,0,0,0.4
4805,0.32,0.07,0,0,0.4
4806,0.2,0.15,0,0.05,0.4
4807,0.17,0.14,0,0.08,0.4
4808,0.12,0.21,0,0.08,0.4
4809,0.33,0.01,0,0.05,0.4
4810,0.01,0.36,0,0.03,0.4
4811,0.22,0.15,0,0.03,0.4
4812,0.2,0.15,0,0.05,0.4
4813,0.33,0.01,0,0.05,0.4
4814,0.2,0.01,0.16,0.03,0.4
4815,0.2,0.15,0,0.05,0.4
4816,0.26,0.1,0,0.04,0.4
4817,0.29,0.11,0,0.01,0.4
4818,0.36,0,0,0.03,0.4
4819,0.18,0.19,0,0.03,0.4
4820,0.37,0,0,0.03,0.4
4821,0.32,0.07,0,0.01,0.4
4822,0.02,0.31,0,0.07,0.4
4823,0.31,0.08,0,0.01,0.4
4824,0.34,0.03,0,0.03,0.4
4825,0.24,0.14,0,0.02,0.4
4826,0.22,0.15,0,0.03,0.4
4827,0.08,0.26,0,0.06,0.4
4828,0,0,0.39,0.01,0.4
4829,0.29,0.11,0,0.01,0.4
4830,0.38,0,0,0.02,0.4
4831,0.22,0.15,0,0.03,0.4
4832,0.32,0.05,0,0.03,0.4
4833,0.36,0,0,0.03,0.4
4834,0.17,0.17,0,0.05,0.4
4835,0.18,0.18,0,0.04,0.4
4836,0,0,0.4,0,0.4
4837,0.09,0.12,0.15,0.04,0.4
4838,0.31,0.08,0,0.01,0.4
4839,0.35,0.03,0,0.02,0.4
4840,0.13,0.2,0,0.07,0.4
4841,0.35,0.02,0,0.03,0.4
4842,0.17,0.18,0,0.04,0.4
4843,0,0,0.37,0.03,0.4
4844,0.19,0.15,0,0.05,0.4
4845,0.32,0.03,0.01,0.04,0.4
4846,0.03,0.33,0,0.04,0.4
4847,0.24,0.12,0,0.04,0.4
4848,0.22,0.15,0,0.03,0.4
4849,0.19,0.15,0,0.05,0.4
4850,0,0,0.4,0,0.4
4851,0.31,0.08,0,0.01,0.4
4852,0.37,0,0,0.03,0.4
4853,0,0,0.4,0,0.4
4854,0.35,0.02,0,0.03,0.4
4855,0.31,0.02,0.04,0.03,0.4
4856,0.33,0.01,0,0.05,0.4
4857,0.19,0.15,0,0.05,0.39
4858,0.21,0.15,0,0.03,0.39
4859,0.12,0.22,0,0.05,0.39
4860,0.06,0.3,0,0.04,0.39
4861,0.19,0.15,0,0.05,0.39
4862,0.26,0.11,0,0.02,0.39
4863,0.33,0.03,0,0.03,0.39
4864,0.19,0.15,0.01,0.05,0.39
4865,0.22,0.14,0,0.04,0.39
4866,0.38,0.01,0,0,0.39
4867,0.2,0.16,0,0.03,0.39
4868,0,0,0.39,0,0.39
4869,0.2,0.11,0.04,0.03,0.39
4870,0.22,0.15,0,0.03,0.39
4871,0.22,0.14,0,0.04,0.39
4872,0.22,0.15,0,0.03,0.39
4873,0.37,0.02,0,0,0.39
4874,0,0,0.39,0,0.39
4875,0.2,0.15,0,0.04,0.39
4876,0.14,0,0.25,0.01,0.39
4877,0.28,0.1,0,0.01,0.39
4878,0.09,0.04,0.24,0.02,0.39
4879,0.32,0.01,0.01,0.05,0.39
4880,0.13,0.18,0.03,0.06,0.39
4881,0.01,0.32,0,0.06,0.39
4882,0.13,0.2,0,0.07,0.39
4883,0.29,0.08,0,0.01,0.39
4884,0.18,0.04,0.15,0.02,0.39
4885,0.22,0.12,0,0.06,0.39
4886,0,0,0.39,0,0.39
4887,0.12,0.2,0.02,0.06,0.39
4888,0.26,0.09,0,0.04,0.39
4889,0.27,0.09,0,0.03,0.39
4890,0.36,0,0,0.03,0.39
4891,0.23,0.07,0.03,0.06,0.39
4892,0.36,0,0,0.03,0.39
4893,0.37,0.02,0,0,0.39
4894,0.36,0.01,0,0.03,0.39
4895,0.22,0.15,0,0.03,0.39
4896,0.36,0,0,0.03,0.39
4897,0.3,0.08,0,0.01,0.39
4898,0.39,0,0,0,0.39
4899,0,0,0.37,0.03,0.39
4900,0.19,0.14,0,0.06,0.39
4901,0.23,0.12,0,0.04,0.39
4902,0.12,0.16,0.05,0.06,0.39
4903,0.08,0.26,0,0.05,0.39
4904,0,0,0.39,0,0.39
4905,0.29,0.08,0,0.01,0.39
4906,0.25,0.06,0.05,0.03,0.39
4907,0.28,0.1,0,0.01,0.39
4908,0.36,0.03,0,0,0.39
4909,0,0,0.34,0.05,0.39
4910,0.31,0.07,0,0,0.39
4911,0.31,0.07,0,0,0.39
4912,0.21,0.07,0.08,0.03,0.39
4913,0.38,0.01,0,0,0.39
4914,0.18,0.15,0,0.07,0.39
4915,0.23,0.06,0.09,0.01,0.39
4916,0.23,0.12,0.01,0.03,0.39
4917,0.15,0.19,0,0.04,0.39
4918,0.2,0.12,0,0.06,0.39
4919,0.14,0.18,0,0.07,0.39
4920,0.19,0.15,0,0.05,0.39
4921,0.18,0.17,0,0.04,0.39
4922,0.36,0,0,0.03,0.39
4923,0.16,0.13,0.06,0.04,0.39
4924,0.19,0.15,0,0.05,0.39
4925,0.16,0.17,0,0.06,0.39
4926,0,0,0.39,0,0.39
4927,0.19,0.15,0,0.05,0.39
4928,0.17,0.16,0,0.06,0.39
4929,0.25,0.1,0,0.03,0.39
4930,0.19,0.15,0,0.05,0.39
4931,0,0,0.39,0,0.39
4932,0,0,0.39,0,0.39
4933,0.24,0.11,0,0.03,0.39
4934,0.19,0.15,0,0.05,0.39
4935,0.28,0.1,0,0.01,0.39
4936,0.29,0.06,0.01,0.03,0.39
4937,0,0,0.39,0,0.39
4938,0.3,0.02,0.04,0.03,0.39
4939,0.19,0.15,0,0.05,0.39
4940,0.36,0,0,0.03,0.39
4941,0.31,0.01,0,0.07,0.39
4942,0.29,0.08,0,0.01,0.39
4943,0.19,0.15,0,0.05,0.39
4944,0.03,0.29,0.01,0.05,0.39
4945,0.19,0.13,0,0.07,0.39
4946,0.18,0.14,0,0.06,0.39
4947,0.12,0.05,0.2,0.01,0.39
4948,0.19,0.15,0,0.05,0.39
4949,0.36,0.02,0,0,0.39
4950,0,0,0.36,0.03,0.39
4951,0.36,0,0,0.03,0.39
4952,0.24,0.11,0,0.04,0.39
4953,0.05,0.04,0.28,0.01,0.39
4954,0.18,0.16,0,0.04,0.39
4955,0.07,0.24,0,0.08,0.39
4956,0.18,0.16,0.01,0.04,0.39
4957,0.28,0.1,0,0.01,0.39
4958,0.17,0.13,0.03,0.05,0.39
4959,0.19,0.15,0,0.05,0.38
4960,0.18,0.14,0,0.06,0.38
4961,0.21,0.15,0,0.03,0.38
4962,0.09,0.2,0,0.09,0.38
4963,0,0,0.38,0,0.38
4964,0.07,0.05,0.25,0.02,0.38
4965,0,0,0.38,0,0.38
4966,0.21,0.15,0,0.03,0.38
4967,0,0,0.36,0.03,0.38
4968,0.22,0.13,0,0.04,0.38
4969,0.29,0.08,0,0.01,0.38
4970,0.19,0.15,0,0.05,0.38
4971,0,0,0.38,0,0.38
4972,0,0.36,0,0.02,0.38
4973,0.33,0.02,0,0.03,0.38
4974,0.27,0.1,0,0.01,0.38
4975,0.33,0.02,0,0.03,0.38
4976,0.28,0.01,0.06,0.03,0.38
4977,0.19,0.15,0,0.05,0.38
4978,0.34,0.02,0,0.03,0.38
4979,0.3,0.08,0,0.01,0.38
4980,0.35,0,0,0.03,0.38
4981,0.38,0,0,0,0.38
4982,0,0,0.38,0,0.38
4983,0.27,0.1,0,0.01,0.38
4984,0.1,0,0,0.28,0.38
4985,0.19,0.15,0,0.05,0.38
4986,0,0.36,0,0.02,0.38
4987,0.34,0.02,0,0.03,0.38
4988,0.14,0.17,0,0.07,0.38
4989,0.26,0.05,0,0.07,0.38
4990,0,0,0.38,0,0.38
4991,0.26,0.09,0,0.03,0.38
4992,0.3,0.08,0,0.01,0.38
4993,0.11,0.08,0.17,0.03,0.38
4994,0.35,0.01,0,0.03,0.38
4995,0.21,0.14,0,0.02,0.38
4996,0.18,0.17,0,0.03,0.38
4997,0,0,0.36,0.02,0.38
4998,0.19,0.15,0,0.05,0.38
4999,0.19,0.15,0,0.05,0.38
5000,0,0,0.38,0,0.38
5001,0.11,0.24,0,0.03,0.38
5002,0.29,0.08,0,0.01,0.38
5003,0.15,0.11,0.1,0.02,0.38
5004,0.11,0.23,0,0.04,0.38
5005,0.19,0.15,0,0.05,0.38
5006,0.27,0.1,0,0.01,0.38
5007,0.14,0.04,0.16,0.03,0.38
5008,0.19,0.15,0,0.05,0.38
5009,0.11,0.21,0,0.06,0.38
5010,0,0,0.36,0.02,0.38
5011,0.07,0.28,0,0.03,0.38
5012,0.07,0.05,0.25,0.02,0.38
5013,0.06,0,0.31,0.01,0.38
5014,0.19,0.15,0,0.05,0.38
5015,0,0,0.38,0,0.38
5016,0.19,0.15,0,0.05,0.38
5017,0.32,0.01,0,0.05,0.38
5018,0.21,0,0,0.17,0.38
5019,0.16,0.16,0,0.06,0.38
5020,0.17,0.07,0.12,0.02,0.38
5021,0,0,0.38,0,0.38
5022,0.21,0.14,0,0.02,0.38
5023,0.28,0.08,0,0.01,0.38
5024,0.32,0.01,0,0.05,0.38
5025,0.21,0.14,0,0.02,0.38
5026,0.16,0,0.2,0.01,0.38
5027,0,0.32,0,0.06,0.38
5028,0,0,0.38,0,0.38
5029,0.11,0.11,0.09,0.07,0.38
5030,0.15,0.16,0,0.07,0.38
5031,0.2,0.15,0,0.04,0.38
5032,0.24,0.06,0.07,0.01,0.38
5033,0,0,0.38,0,0.38
5034,0.12,0.05,0.2,0.01,0.38
5035,0.35,0,0,0.02,0.38
5036,0.18,0.12,0,0.07,0.38
5037,0.21,0.14,0,0.02,0.38
5038,0.09,0.22,0,0.06,0.38
5039,0.34,0.01,0,0.03,0.38
5040,0.21,0.14,0,0.02,0.38
5041,0.12,0,0,0.26,0.38
5042,0.35,0.02,0,0,0.38
5043,0.21,0.13,0,0.04,0.38
5044,0.13,0.04,0.19,0.03,0.38
5045,0.14,0.15,0,0.09,0.38
5046,0.35,0,0,0.03,0.38
5047,0.35,0,0,0.03,0.38
5048,0.35,0,0,0.03,0.38
5049,0,0.33,0,0.05,0.38
5050,0.35,0,0,0.03,0.38
5051,0.35,0.02,0,0,0.38
5052,0.18,0.14,0,0.05,0.38
5053,0,0,0.38,0,0.38
5054,0.28,0.08,0,0.01,0.38
5055,0.22,0.13,0,0.03,0.38
5056,0.24,0.07,0,0.07,0.38
5057,0.11,0.13,0.11,0.02,0.38
5058,0.17,0.14,0,0.06,0.38
5059,0.17,0.14,0.04,0.03,0.38
5060,0.29,0.08,0,0.01,0.38
5061,0.35,0,0,0.03,0.38
5062,0.35,0,0,0.03,0.38
5063,0,0.34,0,0.03,0.37
5064,0.22,0.12,0,0.03,0.37
5065,0.07,0.22,0.01,0.08,0.37
5066,0.35,0.02,0,0,0.37
5067,0.1,0.17,0.05,0.05,0.37
5068,0.09,0.07,0.19,0.02,0.37
5069,0.25,0.09,0,0.03,0.37
5070,0.35,0,0,0.03,0.37
5071,0.11,0.16,0,0.1,0.37
5072,0,0,0.35,0.02,0.37
5073,0.11,0.2,0,0.06,0.37
5074,0.34,0,0,0.03,0.37
5075,0,0,0.37,0,0.37
5076,0.28,0.06,0,0.04,0.37
5077,0.16,0,0,0.21,0.37
5078,0.29,0.07,0,0.01,0.37
5079,0.28,0.08,0,0.01,0.37
5080,0.34,0,0,0.03,0.37
5081,0.33,0.02,0,0.03,0.37
5082,0.14,0.15,0,0.08,0.37
5083,0.3,0.04,0,0.03,0.37
5084,0.08,0.06,0.21,0.02,0.37
5085,0.18,0.14,0,0.05,0.37
5086,0.21,0.13,0,0.03,0.37
5087,0,0,0.37,0,0.37
5088,0.29,0.07,0,0.01,0.37
5089,0.18,0.14,0,0.05,0.37
5090,0.18,0.14,0,0.05,0.37
5091,0.34,0,0,0.03,0.37
5092,0.12,0.2,0,0.05,0.37
5093,0.18,0.14,0,0.05,0.37
5094,0.18,0.14,0,0.05,0.37
5095,0.12,0.21,0,0.04,0.37
5096,0,0,0.37,0,0.37
5097,0.18,0.12,0.04,0.03,0.37
5098,0,0,0.37,0,0.37
5099,0.31,0.01,0,0.05,0.37
5100,0,0,0.35,0.02,0.37
5101,0.35,0,0,0.03,0.37
5102,0.16,0.14,0.01,0.06,0.37
5103,0.13,0.2,0,0.04,0.37
5104,0.32,0.02,0,0.03,0.37
5105,0.16,0.14,0,0.07,0.37
5106,0.29,0.04,0,0.03,0.37
5107,0.33,0.02,0,0.02,0.37
5108,0,0,0.32,0.05,0.37
5109,0.3,0.06,0,0,0.37
5110,0.3,0.06,0,0,0.37
5111,0.14,0.18,0,0.06,0.37
5112,0.35,0.02,0,0,0.37
5113,0.29,0.07,0,0.01,0.37
5114,0.09,0.18,0.01,0.1,0.37
5115,0.1,0.19,0.02,0.06,0.37
5116,0.13,0.08,0.15,0.02,0.37
5117,0.1,0.22,0,0.04,0.37
5118,0.28,0.07,0,0.01,0.37
5119,0,0,0.37,0,0.37
5120,0.27,0.07,0.01,0.03,0.37
5121,0.03,0.28,0,0.05,0.37
5122,0.34,0,0,0.03,0.37
5123,0.26,0.1,0,0.01,0.37
5124,0.17,0.11,0.02,0.06,0.37
5125,0.16,0.15,0,0.06,0.37
5126,0.33,0.01,0,0.03,0.37
5127,0.23,0.1,0,0.03,0.37
5128,0.06,0.2,0,0.11,0.37
5129,0,0,0.36,0.01,0.37
5130,0.21,0.12,0.01,0.03,0.37
5131,0.34,0,0,0.03,0.37
5132,0.04,0.27,0,0.05,0.37
5133,0.34,0,0,0.03,0.37
5134,0,0,0.37,0,0.37
5135,0.17,0.13,0.02,0.04,0.37
5136,0.12,0.21,0,0.04,0.37
5137,0.11,0.22,0,0.04,0.37
5138,0.37,0,0,0,0.37
5139,0.32,0.02,0,0.03,0.37
5140,0,0,0.37,0,0.37
5141,0.1,0.17,0,0.1,0.37
5142,0.17,0.15,0,0.04,0.37
5143,0.09,0.07,0.18,0.02,0.37
5144,0.26,0.07,0,0.04,0.37
5145,0.16,0.13,0.04,0.03,0.37
5146,0,0,0.37,0,0.37
5147,0,0.34,0,0.03,0.37
5148,0.16,0.16,0,0.04,0.37
5149,0.19,0.02,0.13,0.02,0.37
5150,0,0,0.37,0,0.37
5151,0.25,0.09,0,0.03,0.37
5152,0.15,0.16,0,0.06,0.37
5153,0.33,0,0,0.03,0.37
5154,0.3,0.01,0,0.05,0.37
5155,0.34,0,0,0.03,0.37
5156,0.16,0.18,0,0.03,0.36
5157,0.31,0.04,0,0.01,0.36
5158,0.16,0.12,0.06,0.03,0.36
5159,0.28,0.07,0,0.01,0.36
5160,0.09,0.21,0,0.07,0.36
5161,0,0,0.36,0,0.36
5162,0.08,0.06,0.21,0.02,0.36
5163,0.3,0.03,0,0.03,0.36
5164,0,0,0.36,0,0.36
5165,0.18,0.14,0,0.05,0.36
5166,0.11,0.22,0,0.03,0.36
5167,0.21,0.09,0,0.06,0.36
5168,0.27,0.02,0.04,0.03,0.36
5169,0.33,0,0,0.03,0.36
5170,0.25,0.08,0,0.03,0.36
5171,0,0.32,0,0.04,0.36
5172,0.22,0.11,0,0.03,0.36
5173,0.31,0,0.03,0.02,0.36
5174,0,0,0.36,0,0.36
5175,0.17,0.1,0.07,0.03,0.36
5176,0.13,0.17,0,0.06,0.36
5177,0,0,0.36,0,0.36
5178,0.24,0.09,0.01,0.03,0.36
5179,0,0,0.36,0,0.36
5180,0.18,0.14,0,0.05,0.36
5181,0.18,0.14,0,0.05,0.36
5182,0.18,0.14,0,0.05,0.36
5183,0,0,0.36,0,0.36
5184,0.12,0.02,0.21,0.01,0.36
5185,0.33,0,0,0.03,0.36
5186,0.12,0.17,0.01,0.06,0.36
5187,0.11,0.09,0.14,0.03,0.36
5188,0.18,0.14,0,0.05,0.36
5189,0.06,0.04,0.23,0.03,0.36
5190,0.2,0.14,0,0.02,0.36
5191,0.18,0.15,0,0.03,0.36
5192,0.26,0.1,0,0.01,0.36
5193,0.14,0.11,0.08,0.04,0.36
5194,0,0,0.34,0.02,0.36
5195,0.26,0.1,0,0.01,0.36
5196,0.21,0.08,0.04,0.03,0.36
5197,0,0,0.36,0,0.36
5198,0.2,0.14,0,0.02,0.36
5199,0.18,0.14,0,0.05,0.36
5200,0.27,0.08,0,0.01,0.36
5201,0.29,0.06,0,0,0.36
5202,0.29,0.06,0,0,0.36
5203,0.25,0.1,0,0.01,0.36
5204,0.07,0.02,0.23,0.04,0.36
5205,0.3,0.03,0,0.03,0.36
5206,0.31,0.02,0,0.03,0.36
5207,0.2,0.14,0,0.02,0.36
5208,0.26,0.1,0,0.01,0.36
5209,0.33,0,0,0.03,0.36
5210,0.3,0.03,0,0.03,0.36
5211,0.27,0.08,0,0.01,0.36
5212,0.17,0.01,0.16,0.02,0.36
5213,0,0,0.35,0.01,0.36
5214,0,0,0.36,0,0.36
5215,0.2,0.14,0,0.02,0.36
5216,0.17,0.13,0,0.06,0.36
5217,0.27,0.08,0,0.01,0.36
5218,0,0,0.36,0,0.36
5219,0.18,0.14,0,0.05,0.36
5220,0.33,0,0,0.02,0.36
5221,0,0,0.36,0,0.36
5222,0.24,0.08,0,0.03,0.36
5223,0,0,0.36,0,0.36
5224,0.3,0.03,0,0.03,0.36
5225,0.08,0.04,0.23,0.01,0.36
5226,0.18,0.14,0,0.05,0.36
5227,0.18,0.14,0,0.05,0.36
5228,0,0,0.33,0.02,0.36
5229,0,0,0.36,0,0.36
5230,0,0,0.35,0.01,0.36
5231,0.17,0.16,0,0.03,0.36
5232,0.07,0.18,0,0.1,0.36
5233,0,0,0.33,0.02,0.36
5234,0.33,0.02,0,0,0.36
5235,0.27,0.08,0,0.01,0.36
5236,0,0,0.36,0,0.36
5237,0.2,0.13,0,0.02,0.36
5238,0,0,0.36,0,0.36
5239,0.17,0.14,0,0.05,0.36
5240,0.17,0.14,0,0.05,0.36
5241,0,0,0.36,0,0.36
5242,0.2,0.12,0,0.03,0.36
5243,0.33,0,0,0.02,0.36
5244,0.06,0.04,0.23,0.02,0.36
5245,0.25,0.1,0,0.01,0.36
5246,0.14,0.05,0.12,0.05,0.35
5247,0.1,0.17,0.02,0.05,0.35
5248,0.2,0.13,0,0.02,0.35
5249,0.13,0.17,0,0.05,0.35
5250,0.33,0,0,0.02,0.35
5251,0.25,0.09,0,0.01,0.35
5252,0.17,0.14,0,0.05,0.35
5253,0.3,0.01,0.02,0.03,0.35
5254,0.33,0,0,0.03,0.35
5255,0.27,0.07,0,0.01,0.35
5256,0.1,0.2,0,0.06,0.35
5257,0.04,0.02,0.27,0.01,0.35
5258,0.12,0.2,0,0.03,0.35
5259,0.08,0.06,0.19,0.02,0.35
5260,0,0,0.35,0,0.35
5261,0.32,0.01,0,0.03,0.35
5262,0.22,0.11,0,0.03,0.35
5263,0.21,0.12,0,0.03,0.35
5264,0,0,0.35,0,0.35
5265,0,0.32,0,0.03,0.35
5266,0.17,0.14,0,0.05,0.35
5267,0,0,0.35,0,0.35
5268,0.21,0.09,0.01,0.04,0.35
5269,0,0.26,0,0.09,0.35
5270,0.25,0.09,0,0.01,0.35
5271,0.17,0.13,0,0.05,0.35
5272,0.26,0.08,0,0.01,0.35
5273,0.33,0,0,0.03,0.35
5274,0.27,0.06,0,0.03,0.35
5275,0.24,0.06,0,0.05,0.35
5276,0.07,0.24,0,0.04,0.35
5277,0,0,0.35,0,0.35
5278,0.18,0.12,0,0.05,0.35
5279,0.2,0.11,0,0.05,0.35
5280,0.04,0.01,0.3,0,0.35
5281,0,0,0.35,0,0.35
5282,0.32,0.01,0,0.03,0.35
5283,0.15,0.11,0.05,0.04,0.35
5284,0.17,0.13,0,0.04,0.35
5285,0.03,0.02,0.28,0.02,0.35
5286,0.06,0.21,0.03,0.05,0.35
5287,0.19,0.13,0,0.03,0.35
5288,0.11,0.13,0.07,0.05,0.35
5289,0.25,0.09,0,0.01,0.35
5290,0,0,0.35,0,0.35
5291,0.33,0,0,0.03,0.35
5292,0.04,0.04,0.25,0.02,0.35
5293,0.17,0.15,0,0.03,0.35
5294,0,0,0.29,0.06,0.35
5295,0.15,0.05,0.14,0.01,0.35
5296,0,0.33,0,0.02,0.35
5297,0.17,0.13,0,0.04,0.35
5298,0.14,0.15,0,0.06,0.35
5299,0.27,0.07,0,0.01,0.35
5300,0.25,0.09,0,0.01,0.35
5301,0.05,0.18,0.02,0.09,0.35
5302,0.17,0.13,0,0.04,0.35
5303,0.23,0.09,0,0.02,0.35
5304,0.19,0.13,0,0.02,0.35
5305,0.26,0.08,0,0.01,0.35
5306,0.19,0.1,0,0.06,0.35
5307,0.13,0.18,0,0.04,0.35
5308,0.16,0.15,0,0.04,0.35
5309,0.17,0.13,0,0.04,0.35
5310,0.24,0.08,0,0.03,0.35
5311,0.2,0.07,0.04,0.04,0.35
5312,0.17,0.13,0,0.04,0.35
5313,0.09,0.07,0.16,0.02,0.35
5314,0.32,0,0,0.02,0.35
5315,0.17,0.13,0,0.04,0.35
5316,0,0,0.32,0.02,0.35
5317,0.11,0.2,0,0.04,0.35
5318,0.19,0.12,0,0.03,0.35
5319,0.17,0.13,0,0.04,0.35
5320,0.17,0.13,0,0.04,0.35
5321,0.11,0.16,0.02,0.05,0.35
5322,0.2,0.11,0,0.03,0.35
5323,0.32,0,0,0.03,0.35
